Bin,Density,Frequency,Min,Max,Fit,sub Dist,Density^2,Fit^2,Normed Fit,Normed Fit^2,Variables,NORM =/=1,Assumed Norm =1,Percent Diff,,,,,Remove Outliers,Bin,Density,Frequency,Min,Max,Fit,sum Dist,Variables,NORM =/=1,Assumed Norm =1,Percent Diff same data,Percent Diff Norm=/=1,Percent Diff Norm=1
-23.87381758,0,0,-23.88935525,-23.85827991,0.000781143,6.10E-07,0,6.10E-07,0.00069403,4.82E-07,,,,,,,,,,-14.24046235,0,0,-14.25600002,-14.22492468,0.002159463,4.66E-06,,,,,,
-23.84274224,0,0,-23.85827991,-23.82720457,0.000783155,6.13E-07,0,6.13E-07,0.000695819,4.84E-07,,,,,,,,,,-14.20938701,0,0,-14.22492468,-14.19384934,0.002168693,4.70E-06,,,,,,
-23.8116669,0,0,-23.82720457,-23.79612923,0.000785176,6.17E-07,0,6.17E-07,0.000697615,4.87E-07,,,,,,,,,,-14.17831167,0,0,-14.19384934,-14.162774,0.002177983,4.74E-06,,,,,,
-23.78059156,0,0,-23.79612923,-23.76505389,0.000787204,6.20E-07,0,6.20E-07,0.000699418,4.89E-07,,,,,,,,,,-14.14723633,0,0,-14.162774,-14.13169866,0.002187332,4.78E-06,,,,,,
-23.74951622,0,0,-23.76505389,-23.73397855,0.00078924,6.23E-07,0,6.23E-07,0.000701227,4.92E-07,,,,,,,,,,-14.11616099,0,0,-14.13169866,-14.10062332,0.002196741,4.83E-06,,,,,,
-23.71844088,0,0,-23.73397855,-23.70290321,0.000791284,6.26E-07,0,6.26E-07,0.000703044,4.94E-07,,,,,,,,,,-14.08508565,0,0,-14.10062332,-14.06954798,0.002206211,4.87E-06,,,,,,
-23.68736554,0,0,-23.70290321,-23.67182787,0.000793336,6.29E-07,0,6.29E-07,0.000704868,4.97E-07,,,,,,,,,,-14.05401031,0.01290291,1,-14.06954798,-14.03847264,0.002215742,0.000114216,,,,,,
-23.6562902,0,0,-23.67182787,-23.64075253,0.000795396,6.33E-07,0,6.33E-07,0.000706699,4.99E-07,,,,,,,,,,-14.02293497,0,0,-14.03847264,-14.0073973,0.002225335,4.95E-06,,,,,,
-23.62521486,0,0,-23.64075253,-23.60967719,0.000797463,6.36E-07,0,6.36E-07,0.000708537,5.02E-07,,,,,,,,,,-13.99185963,0,0,-14.0073973,-13.97632196,0.00223499,5.00E-06,,,,,,
-23.59413952,0,0,-23.60967719,-23.57860185,0.000799539,6.39E-07,0,6.39E-07,0.000710383,5.05E-07,,,,,,,,,,-13.96078429,0,0,-13.97632196,-13.94524662,0.002244708,5.04E-06,,,,,,
-23.56306418,0,0,-23.57860185,-23.54752651,0.000801623,6.43E-07,0,6.43E-07,0.000712235,5.07E-07,,,,,,,,,,-13.92970895,0,0,-13.94524662,-13.91417128,0.00225449,5.08E-06,,,,,,
-23.53198884,0,0,-23.54752651,-23.51645117,0.000803716,6.46E-07,0,6.46E-07,0.000714095,5.10E-07,,,,,,,,,,-13.89863361,0,0,-13.91417128,-13.88309594,0.002264335,5.13E-06,,,,,,
-23.5009135,0,0,-23.51645117,-23.48537583,0.000805816,6.49E-07,0,6.49E-07,0.000715962,5.13E-07,,,,,,,,,,-13.86755827,0,0,-13.88309594,-13.8520206,0.002274244,5.17E-06,,,,,,
-23.46983816,0,0,-23.48537583,-23.4543005,0.000807925,6.53E-07,0,6.53E-07,0.000717837,5.15E-07,,,,,,,,,,-13.83648293,0,0,-13.8520206,-13.82094526,0.002284219,5.22E-06,,,,,,
-23.43876283,0,0,-23.4543005,-23.42322516,0.000810041,6.56E-07,0,6.56E-07,0.000719719,5.18E-07,,,,,,,,,,-13.80540759,0,0,-13.82094526,-13.78986992,0.002294259,5.26E-06,,,,,,
-23.40768749,0,0,-23.42322516,-23.39214982,0.000812167,6.60E-07,0,6.60E-07,0.000721608,5.21E-07,,,,,,,,,,-13.77433225,0,0,-13.78986992,-13.75879459,0.002304365,5.31E-06,,,,,,
-23.37661215,0,0,-23.39214982,-23.36107448,0.0008143,6.63E-07,0,6.63E-07,0.000723504,5.23E-07,,,,,,,,,,-13.74325692,0,0,-13.75879459,-13.72771925,0.002314538,5.36E-06,,,,,,
-23.34553681,0,0,-23.36107448,-23.32999914,0.000816442,6.67E-07,0,6.67E-07,0.000725409,5.26E-07,,,,,,,,,,-13.71218158,0,0,-13.72771925,-13.69664391,0.002324778,5.40E-06,,,,,,
-23.31446147,0,0,-23.32999914,-23.2989238,0.000818593,6.70E-07,0,6.70E-07,0.00072732,5.29E-07,,,,,,,,,,-13.68110624,0,0,-13.69664391,-13.66556857,0.002335087,5.45E-06,,,,,,
-23.28338613,0,0,-23.2989238,-23.26784846,0.000820752,6.74E-07,0,6.74E-07,0.000729239,5.32E-07,,,,,,,,,,-13.6500309,0,0,-13.66556857,-13.63449323,0.002345463,5.50E-06,,,,,,
-23.25231079,0,0,-23.26784846,-23.23677312,0.000822919,6.77E-07,0,6.77E-07,0.000731166,5.35E-07,,,,,,,,,,-13.61895556,0,0,-13.63449323,-13.60341789,0.002355909,5.55E-06,,,,,,
-23.22123545,0,0,-23.23677312,-23.20569778,0.000825095,6.81E-07,0,6.81E-07,0.000733101,5.37E-07,,,,,,,,,,-13.58788022,0,0,-13.60341789,-13.57234255,0.002366424,5.60E-06,,,,,,
-23.19016011,0,0,-23.20569778,-23.17462244,0.00082728,6.84E-07,0,6.84E-07,0.000735043,5.40E-07,,,,,,,,,,-13.55680488,0,0,-13.57234255,-13.54126721,0.00237701,5.65E-06,,,,,,
-23.15908477,0,0,-23.17462244,-23.1435471,0.000829473,6.88E-07,0,6.88E-07,0.000736993,5.43E-07,,,,,,,,,,-13.52572954,0,0,-13.54126721,-13.51019187,0.002387667,5.70E-06,,,,,,
-23.12800943,0,0,-23.1435471,-23.11247176,0.000831675,6.92E-07,0,6.92E-07,0.00073895,5.46E-07,,,,,,,,,,-13.4946542,0,0,-13.51019187,-13.47911653,0.002398395,5.75E-06,,,,,,
-23.09693409,0,0,-23.11247176,-23.08139642,0.000833886,6.95E-07,0,6.95E-07,0.000740916,5.49E-07,,,,,,,,,,-13.46357886,0,0,-13.47911653,-13.44804119,0.002409196,5.80E-06,,,,,,
-23.06585875,0,0,-23.08139642,-23.05032108,0.000836106,6.99E-07,0,6.99E-07,0.000742889,5.52E-07,,,,,,,,,,-13.43250352,0,0,-13.44804119,-13.41696585,0.002420069,5.86E-06,,,,,,
